Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_area_ratio,Net_migration,Infant_mortality_per_thousand_birth,Literacy,Phones_per_thousand,Arable,Crops,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Serbia,Europe,9396411,88361,106.3,0,-1.33,12.89,93,285.8,33.35,3.2,,,,0.166,0.255,0.579
Seychelles,Africa,81541,455,179.2,107.91,-5.69,15.53,58,262.4,2.22,13.33,2,16.03,6.29,0.032,0.304,0.665
SierraLeone,Africa,6005250,71740,83.7,0.56,0,143.64,31.4,4,6.98,0.89,2,45.76,23.03,0.49,0.31,0.21
Singapore,Asia,4492150,693,6482.2,27.85,11.53,2.29,92.5,411.4,1.64,0,2,9.34,4.28,0,0.339,0.661
Slovakia,Europe,5439448,48845,111.4,0,0.3,7.41,,220.1,30.16,2.62,3,10.65,9.45,0.035,0.294,0.672
Slovenia,Europe,2010347,20273,99.2,0.23,1.12,4.45,99.7,406.1,8.6,1.49,,8.98,10.31,0.028,0.369,0.603
SolomonIslands,Oceania,552438,28450,19.4,18.67,0,21.29,,13.4,0.64,2,2,30.01,3.92,0.42,0.11,0.47
Somalia,Africa,8863338,637657,13.9,0.47,5.37,116.7,37.8,11.3,1.67,0.04,1,45.13,16.63,0.65,0.1,0.25
SouthAfrica,Africa,44187637,1219912,36.2,0.23,-0.29,61.81,86.4,107,12.08,0.79,1,18.2,22,0.025,0.303,0.671
Spain,Europe,40397842,504782,80,0.98,0.99,4.42,97.9,453.5,26.07,9.87,3,10.06,9.72,0.04,0.295,0.665
SriLanka,Asia,20222240,65610,308.2,2.04,-1.31,14.35,92.3,61.5,13.86,15.7,2,15.51,6.52,0.178,0.276,0.545
Sudan,Africa,41236378,2505810,16.5,0.03,-0.02,62.5,61.1,16.3,6.83,0.18,2,34.53,8.97,0.387,0.203,0.41
Suriname,SouthAmerica,439117,163270,2.7,0.24,-8.81,23.57,93,184.7,0.37,0.06,2,18.02,7.27,0.13,0.22,0.65
